seq	term
Oarb_153030_c3_g1	"RNA processing and modification"
Oarb_153031_c3_g1	"Transcription"
Oarb_153035_c5_g1	"Inorganic ion transport and metabolism"
Oarb_153038_c5_g1	"Replication, recombination and repair"
Oarb_153039_c7_g2	"Replication, recombination and repair"
Oarb_153039_c7_g3	"Replication, recombination and repair"
Oarb_153045_c5_g4	"Chromatin structure and dynamics"
Oarb_153048_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153048_c5_g5	"Posttranslational modification, protein turnover, chaperones"
Oarb_153048_c5_g7	"Carbohydrate transport and metabolism"
Oarb_153052_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153052_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153052_c3_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_153053_c1_g1	"Inorganic ion transport and metabolism"
Oarb_153061_c3_g1	"Transcription"
Oarb_153063_c1_g1	"Transcription"
Oarb_153065_c3_g1	"Signal transduction mechanisms"
Oarb_153066_c5_g1	"Translation, ribosomal structure and biogenesis"
Oarb_153067_c3_g3	"Cell wall/membrane/envelope biogenesis"
Oarb_153072_c4_g1	"Transcription"
Oarb_153073_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153079_c4_g1	""
Oarb_153080_c1_g1	"Nucleotide transport and metabolism"
Oarb_153080_c4_g1	"Nucleotide transport and metabolism"
Oarb_153081_c6_g1	"Inorganic ion transport and metabolism"
Oarb_153087_c2_g1	"RNA processing and modification"
Oarb_153096_c3_g1	"Signal transduction mechanisms"
Oarb_153100_c2_g5	"Signal transduction mechanisms"
Oarb_153102_c5_g2	"Replication, recombination and repair"
Oarb_153105_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153108_c1_g3	"Defense mechanisms"
Oarb_153111_c6_g1	"Transcription"
Oarb_153114_c2_g4	"Cell wall/membrane/envelope biogenesis"
Oarb_153131_c3_g1	"Carbohydrate transport and metabolism"
Oarb_153133_c2_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_153134_c1_g1	"Signal transduction mechanisms"
Oarb_153134_c2_g1	"Inorganic ion transport and metabolism"
Oarb_153137_c0_g1	"Signal transduction mechanisms"
Oarb_153139_c5_g1	"Signal transduction mechanisms"
Oarb_153142_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_153143_c2_g1	"RNA processing and modification"
Oarb_153145_c4_g2	"Lipid transport and metabolism"
Oarb_153148_c5_g1	"Replication, recombination and repair"
Oarb_153149_c4_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_153175_c0_g1	"Amino acid transport and metabolism"
Oarb_153175_c1_g1	"Amino acid transport and metabolism"
Oarb_153181_c6_g2	"Lipid transport and metabolism"
Oarb_153182_c7_g1	""
Oarb_153187_c3_g1	"Signal transduction mechanisms"
Oarb_153205_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153207_c4_g5	"Posttranslational modification, protein turnover, chaperones"
Oarb_153207_c4_g5	"Signal transduction mechanisms"
Oarb_153209_c4_g1	"Signal transduction mechanisms"
Oarb_153213_c3_g2	"Replication, recombination and repair"
Oarb_153223_c6_g1	"RNA processing and modification"
Oarb_153229_c4_g1	"Lipid transport and metabolism"
Oarb_153236_c1_g2	"Signal transduction mechanisms"
Oarb_153239_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153244_c7_g2	"Cytoskeleton"
Oarb_153247_c1_g1	"Amino acid transport and metabolism"
Oarb_153252_c1_g1	"Energy production and conversion"
Oarb_153257_c6_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_153259_c5_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_153259_c5_g4	"Cell cycle control, cell division, chromosome partitioning"
Oarb_153266_c2_g1	"Signal transduction mechanisms"
Oarb_153275_c6_g1	"Replication, recombination and repair"
Oarb_153278_c7_g2	""
Oarb_153279_c1_g2	"Signal transduction mechanisms"
Oarb_153280_c2_g2	"Lipid transport and metabolism"
Oarb_153282_c2_g3	""
Oarb_153285_c2_g1	""
Oarb_153288_c1_g2	"Amino acid transport and metabolism"
Oarb_153304_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153310_c6_g1	"Signal transduction mechanisms"
Oarb_153318_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153319_c8_g4	"Replication, recombination and repair"
Oarb_153331_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_153344_c1_g2	"Signal transduction mechanisms"
Oarb_153351_c7_g1	"Lipid transport and metabolism"
Oarb_153352_c8_g2	"Nucleotide transport and metabolism"
Oarb_153358_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153360_c2_g1	"Amino acid transport and metabolism"
Oarb_153365_c6_g1	"Signal transduction mechanisms"
Oarb_153370_c6_g1	"Translation, ribosomal structure and biogenesis"
Oarb_153372_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153372_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153374_c5_g2	"Amino acid transport and metabolism"
Oarb_153381_c7_g2	"Lipid transport and metabolism"
Oarb_153383_c3_g3	"Transcription"
Oarb_153396_c1_g1	"Signal transduction mechanisms"
Oarb_153399_c4_g1	"Inorganic ion transport and metabolism"
Oarb_153400_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153408_c8_g1	"RNA processing and modification"
Oarb_153410_c9_g1	"Signal transduction mechanisms"
Oarb_153411_c7_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_153411_c7_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_153414_c3_g1	"Coenzyme transport and metabolism"
Oarb_153416_c2_g2	"Inorganic ion transport and metabolism"
Oarb_153423_c6_g1	"Cytoskeleton"
Oarb_153428_c5_g1	"RNA processing and modification"
Oarb_153429_c4_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_153430_c7_g1	"Nucleotide transport and metabolism"
Oarb_153442_c4_g2	"Amino acid transport and metabolism"
Oarb_153445_c5_g1	"Replication, recombination and repair"
Oarb_153445_c5_g3	"Replication, recombination and repair"
Oarb_153447_c8_g1	"Signal transduction mechanisms"
Oarb_153448_c7_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153449_c0_g1	"Inorganic ion transport and metabolism"
Oarb_153454_c3_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_153454_c3_g1	"Extracellular structures"
Oarb_153456_c7_g1	"Signal transduction mechanisms"
Oarb_153465_c7_g2	"Carbohydrate transport and metabolism"
Oarb_153469_c5_g1	"Inorganic ion transport and metabolism"
Oarb_153469_c5_g2	"Inorganic ion transport and metabolism"
Oarb_153485_c5_g1	"Carbohydrate transport and metabolism"
Oarb_153486_c7_g1	"Signal transduction mechanisms"
Oarb_153492_c1_g2	"Inorganic ion transport and metabolism"
Oarb_153493_c0_g1	"Carbohydrate transport and metabolism"
Oarb_153506_c3_g1	"Signal transduction mechanisms"
Oarb_153511_c2_g2	"Replication, recombination and repair"
Oarb_153511_c2_g3	"Replication, recombination and repair"
Oarb_153511_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153515_c4_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_153523_c1_g1	"Signal transduction mechanisms"
Oarb_153528_c1_g1	"Amino acid transport and metabolism"
Oarb_153528_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153538_c4_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_153543_c3_g1	"Replication, recombination and repair"
Oarb_153548_c8_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153553_c7_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_153558_c5_g1	"Signal transduction mechanisms"
Oarb_153558_c5_g2	"Signal transduction mechanisms"
Oarb_153566_c7_g1	"Signal transduction mechanisms"
Oarb_153567_c9_g2	""
Oarb_153580_c6_g2	"Chromatin structure and dynamics"
Oarb_153580_c6_g3	"Chromatin structure and dynamics"
Oarb_153580_c6_g4	"Chromatin structure and dynamics"
Oarb_153594_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153600_c7_g2	"Signal transduction mechanisms"
Oarb_153600_c7_g3	"Signal transduction mechanisms"
Oarb_153600_c7_g7	"Signal transduction mechanisms"
Oarb_153602_c7_g1	"Signal transduction mechanisms"
Oarb_153603_c9_g2	"Signal transduction mechanisms"
Oarb_153604_c8_g3	"Cell cycle control, cell division, chromosome partitioning"
Oarb_153607_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153622_c2_g1	"RNA processing and modification"
Oarb_153622_c2_g3	"RNA processing and modification"
Oarb_153624_c2_g1	"Inorganic ion transport and metabolism"
Oarb_153628_c5_g1	"Translation, ribosomal structure and biogenesis"
Oarb_153635_c3_g1	"Amino acid transport and metabolism"
Oarb_153642_c2_g1	"RNA processing and modification"
Oarb_153643_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153644_c4_g1	"Signal transduction mechanisms"
Oarb_153650_c3_g1	"Amino acid transport and metabolism"
Oarb_153653_c5_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_153655_c5_g1	"Signal transduction mechanisms"
Oarb_153659_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153660_c8_g1	"Signal transduction mechanisms"
Oarb_153664_c6_g1	"RNA processing and modification"
Oarb_153666_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153668_c5_g1	"Transcription"
Oarb_153668_c5_g2	"Transcription"
Oarb_153669_c9_g1	"Signal transduction mechanisms"
Oarb_153669_c9_g2	"Signal transduction mechanisms"
Oarb_153673_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153690_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153692_c10_g1	"Nucleotide transport and metabolism"
Oarb_153701_c1_g1	"Transcription"
Oarb_153710_c8_g1	""
Oarb_153710_c8_g1	"Replication, recombination and repair"
Oarb_153715_c8_g3	"RNA processing and modification"
Oarb_153723_c7_g1	"Lipid transport and metabolism"
Oarb_153726_c5_g1	"Amino acid transport and metabolism"
Oarb_153729_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153743_c5_g1	"Lipid transport and metabolism"
Oarb_153744_c7_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153747_c5_g1	"Replication, recombination and repair"
Oarb_153747_c5_g2	"Replication, recombination and repair"
Oarb_153748_c5_g1	"Signal transduction mechanisms"
Oarb_153755_c5_g2	"Amino acid transport and metabolism"
Oarb_153757_c4_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_153768_c4_g1	"Extracellular structures"
Oarb_153777_c8_g1	"Transcription"
Oarb_153779_c2_g1	"Chromatin structure and dynamics"
Oarb_153785_c0_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_153793_c4_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_153805_c6_g1	"Signal transduction mechanisms"
Oarb_153822_c10_g1	"Nucleotide transport and metabolism"
Oarb_153828_c9_g1	"Lipid transport and metabolism"
Oarb_153829_c5_g3	"RNA processing and modification"
Oarb_153836_c0_g1	"Lipid transport and metabolism"
Oarb_153836_c1_g1	"Lipid transport and metabolism"
Oarb_153837_c9_g1	"Carbohydrate transport and metabolism"
Oarb_153837_c9_g2	"Carbohydrate transport and metabolism"
Oarb_153843_c9_g2	"Chromatin structure and dynamics"
Oarb_153846_c1_g1	"Carbohydrate transport and metabolism"
Oarb_153849_c7_g1	"Inorganic ion transport and metabolism"
Oarb_153858_c1_g1	"Extracellular structures"
Oarb_153858_c1_g1	"Signal transduction mechanisms"
Oarb_153860_c1_g1	"Carbohydrate transport and metabolism"
Oarb_153861_c7_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153864_c6_g1	"Signal transduction mechanisms"
Oarb_153867_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153872_c9_g3	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153875_c7_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_153877_c6_g2	"Signal transduction mechanisms"
Oarb_153881_c3_g4	"Replication, recombination and repair"
Oarb_153884_c6_g2	"Replication, recombination and repair"
Oarb_153894_c4_g1	"RNA processing and modification"
Oarb_153896_c2_g1	"Chromatin structure and dynamics"
Oarb_153896_c4_g2	"Chromatin structure and dynamics"
Oarb_153900_c7_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_153905_c1_g1	"RNA processing and modification"
Oarb_153907_c5_g2	"Replication, recombination and repair"
Oarb_153910_c7_g1	"Nucleotide transport and metabolism"
Oarb_153911_c2_g1	""
Oarb_153912_c6_g1	"Signal transduction mechanisms"
Oarb_153912_c6_g3	"Signal transduction mechanisms"
Oarb_153912_c6_g4	"Signal transduction mechanisms"
Oarb_153914_c9_g2	"Transcription"
Oarb_153920_c6_g1	"Cytoskeleton"
Oarb_153924_c6_g3	"Signal transduction mechanisms"
Oarb_153925_c8_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_153937_c7_g2	"Transcription"
Oarb_153938_c6_g1	"Amino acid transport and metabolism"
Oarb_153939_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_153950_c10_g5	"Signal transduction mechanisms"
Oarb_153954_c3_g1	"Signal transduction mechanisms"
Oarb_153954_c3_g1	"Transcription"
Oarb_153961_c6_g2	"Replication, recombination and repair"
Oarb_153965_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_153967_c2_g1	"Cytoskeleton"
Oarb_153969_c3_g3	""
Oarb_153977_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_153984_c5_g4	"RNA processing and modification"
Oarb_153986_c7_g1	"Signal transduction mechanisms"
Oarb_153988_c8_g4	"Chromatin structure and dynamics"
Oarb_153991_c1_g2	"Inorganic ion transport and metabolism"
Oarb_153994_c7_g3	"RNA processing and modification"
Oarb_153995_c10_g1	"Signal transduction mechanisms"
Oarb_154001_c6_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154005_c3_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154014_c5_g4	"Energy production and conversion"
Oarb_154015_c7_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154021_c8_g5	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_154024_c5_g1	"Signal transduction mechanisms"
Oarb_154025_c1_g1	"Carbohydrate transport and metabolism"
Oarb_154027_c3_g1	"Energy production and conversion"
Oarb_154027_c3_g4	"Energy production and conversion"
Oarb_154045_c6_g1	"Signal transduction mechanisms"
Oarb_154066_c3_g3	"Amino acid transport and metabolism"
Oarb_154068_c6_g2	"Nucleotide transport and metabolism"
Oarb_154080_c0_g1	"Replication, recombination and repair"
Oarb_154083_c7_g1	"Chromatin structure and dynamics"
Oarb_154090_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154101_c5_g1	"Signal transduction mechanisms"
Oarb_154108_c7_g1	"Carbohydrate transport and metabolism"
Oarb_154110_c4_g1	"Transcription"
Oarb_154122_c1_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_154122_c1_g4	"Cell wall/membrane/envelope biogenesis"
Oarb_154124_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154135_c7_g2	"Amino acid transport and metabolism"
Oarb_154138_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154139_c7_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_154140_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154140_c1_g1	"Signal transduction mechanisms"
Oarb_154144_c8_g2	"Signal transduction mechanisms"
Oarb_154154_c8_g2	"Chromatin structure and dynamics"
Oarb_154155_c10_g1	""
Oarb_154157_c10_g2	"Carbohydrate transport and metabolism"
Oarb_154162_c11_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154167_c8_g1	"Transcription"
Oarb_154169_c7_g2	"Cytoskeleton"
Oarb_154177_c9_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154185_c2_g1	"Amino acid transport and metabolism"
Oarb_154194_c6_g1	"Extracellular structures"
Oarb_154194_c6_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_154199_c6_g1	"Replication, recombination and repair"
Oarb_154210_c4_g2	""
Oarb_154220_c8_g3	"Cytoskeleton"
Oarb_154221_c3_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_154225_c4_g1	"Lipid transport and metabolism"
Oarb_154228_c2_g2	"Lipid transport and metabolism"
Oarb_154231_c5_g3	"Carbohydrate transport and metabolism"
Oarb_154234_c4_g1	"Signal transduction mechanisms"
Oarb_154240_c0_g4	"Cytoskeleton"
Oarb_154243_c7_g1	"Signal transduction mechanisms"
Oarb_154253_c3_g3	"Cytoskeleton"
Oarb_154255_c5_g2	"Carbohydrate transport and metabolism"
Oarb_154259_c2_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154261_c9_g3	"Cell wall/membrane/envelope biogenesis"
Oarb_154266_c3_g1	"Signal transduction mechanisms"
Oarb_154269_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154269_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154272_c3_g1	"Signal transduction mechanisms"
Oarb_154278_c7_g1	"RNA processing and modification"
Oarb_154282_c7_g4	"Carbohydrate transport and metabolism"
Oarb_154291_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154294_c6_g3	""
Oarb_154310_c9_g1	"Lipid transport and metabolism"
Oarb_154311_c4_g1	"Signal transduction mechanisms"
Oarb_154311_c4_g2	"Signal transduction mechanisms"
Oarb_154312_c6_g1	"Signal transduction mechanisms"
Oarb_154313_c9_g2	"Replication, recombination and repair"
Oarb_154319_c8_g1	"Replication, recombination and repair"
Oarb_154326_c6_g3	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_154335_c7_g1	"Transcription"
Oarb_154342_c9_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154342_c9_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_154347_c11_g5	"Posttranslational modification, protein turnover, chaperones"
Oarb_154359_c3_g2	"Signal transduction mechanisms"
Oarb_154363_c5_g1	"Signal transduction mechanisms"
Oarb_154370_c8_g1	"Carbohydrate transport and metabolism"
Oarb_154370_c8_g2	"Carbohydrate transport and metabolism"
Oarb_154374_c3_g1	"Chromatin structure and dynamics"
Oarb_154378_c10_g3	"Amino acid transport and metabolism"
Oarb_154383_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154385_c8_g1	"Cytoskeleton"
Oarb_154385_c8_g3	"Cytoskeleton"
Oarb_154388_c3_g1	"Cytoskeleton"
Oarb_154390_c3_g1	"Signal transduction mechanisms"
Oarb_154391_c5_g1	"Transcription"
Oarb_154392_c4_g1	"Inorganic ion transport and metabolism"
Oarb_154393_c2_g1	"Signal transduction mechanisms"
Oarb_154393_c3_g4	"RNA processing and modification"
Oarb_154396_c0_g1	"Defense mechanisms"
Oarb_154397_c1_g1	"Replication, recombination and repair"
Oarb_154401_c11_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154401_c11_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154402_c1_g3	"Signal transduction mechanisms"
Oarb_154403_c0_g1	""
Oarb_154403_c1_g2	"Inorganic ion transport and metabolism"
Oarb_154403_c2_g1	"Signal transduction mechanisms"
Oarb_154410_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_154413_c6_g1	""
Oarb_154414_c6_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154414_c6_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_154415_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154420_c9_g2	"Extracellular structures"
Oarb_154443_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_154444_c8_g4	"Posttranslational modification, protein turnover, chaperones"
Oarb_154449_c4_g2	"Translation, ribosomal structure and biogenesis"
Oarb_154449_c4_g6	"Translation, ribosomal structure and biogenesis"
Oarb_154457_c8_g1	"Cytoskeleton"
Oarb_154459_c1_g1	"Cytoskeleton"
Oarb_154460_c11_g1	"Signal transduction mechanisms"
Oarb_154462_c9_g1	""
Oarb_154476_c7_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154486_c6_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154494_c8_g2	"Energy production and conversion"
Oarb_154504_c0_g1	"Signal transduction mechanisms"
Oarb_154511_c4_g1	""
Oarb_154515_c3_g1	"Signal transduction mechanisms"
Oarb_154518_c10_g1	"Extracellular structures"
Oarb_154541_c11_g1	"Signal transduction mechanisms"
Oarb_154542_c9_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154544_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_154549_c0_g1	""
Oarb_154550_c0_g1	"Transcription"
Oarb_154550_c0_g3	"Energy production and conversion"
Oarb_154554_c10_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154559_c7_g2	"Cytoskeleton"
Oarb_154561_c11_g1	"Cytoskeleton"
Oarb_154563_c6_g1	"Energy production and conversion"
Oarb_154566_c4_g4	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154568_c0_g1	"Amino acid transport and metabolism"
Oarb_154568_c1_g1	"Amino acid transport and metabolism"
Oarb_154568_c1_g2	"Amino acid transport and metabolism"
Oarb_154574_c5_g1	"Amino acid transport and metabolism"
Oarb_154576_c11_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_154577_c7_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_154580_c1_g1	"Carbohydrate transport and metabolism"
Oarb_154583_c0_g1	"RNA processing and modification"
Oarb_154594_c6_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154600_c8_g1	"Transcription"
Oarb_154602_c7_g1	"Cytoskeleton"
Oarb_154607_c9_g1	""
Oarb_154609_c11_g1	"Signal transduction mechanisms"
Oarb_154613_c9_g3	""
Oarb_154623_c5_g1	"Replication, recombination and repair"
Oarb_154633_c8_g1	"Chromatin structure and dynamics"
Oarb_154636_c7_g1	"Inorganic ion transport and metabolism"
Oarb_154651_c11_g1	"Signal transduction mechanisms"
Oarb_154657_c5_g1	"Amino acid transport and metabolism"
Oarb_154658_c9_g2	"Signal transduction mechanisms"
Oarb_154666_c6_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154666_c6_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154677_c7_g2	"Signal transduction mechanisms"
Oarb_154682_c6_g1	"Signal transduction mechanisms"
Oarb_154685_c11_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154699_c8_g1	"Transcription"
Oarb_154705_c8_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154713_c11_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154717_c11_g1	"Cytoskeleton"
Oarb_154730_c0_g1	"Inorganic ion transport and metabolism"
Oarb_154730_c1_g1	"Replication, recombination and repair"
Oarb_154733_c2_g1	"Replication, recombination and repair"
Oarb_154733_c2_g2	"Replication, recombination and repair"
Oarb_154733_c2_g3	"Replication, recombination and repair"
Oarb_154734_c8_g1	"Signal transduction mechanisms"
Oarb_154743_c11_g1	"Signal transduction mechanisms"
Oarb_154746_c11_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154752_c5_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154753_c5_g3	""
Oarb_154755_c10_g3	"Translation, ribosomal structure and biogenesis"
Oarb_154762_c5_g2	"RNA processing and modification"
Oarb_154764_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154767_c0_g1	"RNA processing and modification"
Oarb_154767_c0_g2	"RNA processing and modification"
Oarb_154768_c12_g1	"Amino acid transport and metabolism"
Oarb_154768_c12_g3	"Cytoskeleton"
Oarb_154769_c7_g3	""
Oarb_154770_c4_g1	""
Oarb_154774_c6_g1	"Translation, ribosomal structure and biogenesis"
Oarb_154780_c9_g1	"Lipid transport and metabolism"
Oarb_154780_c9_g2	"Lipid transport and metabolism"
Oarb_154781_c5_g1	""
Oarb_154783_c10_g1	"Replication, recombination and repair"
Oarb_154784_c2_g1	"Chromatin structure and dynamics"
Oarb_154789_c6_g1	"Signal transduction mechanisms"
Oarb_154792_c8_g1	"RNA processing and modification"
Oarb_154795_c8_g1	"Energy production and conversion"
Oarb_154799_c6_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154801_c8_g2	"Carbohydrate transport and metabolism"
Oarb_154804_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154805_c2_g2	"Translation, ribosomal structure and biogenesis"
Oarb_154807_c7_g2	"Replication, recombination and repair"
Oarb_154812_c3_g2	"Signal transduction mechanisms"
Oarb_154814_c11_g1	"Energy production and conversion"
Oarb_154816_c4_g2	"Transcription"
Oarb_154817_c3_g1	"Signal transduction mechanisms"
Oarb_154818_c5_g1	"Signal transduction mechanisms"
Oarb_154821_c2_g1	"Lipid transport and metabolism"
Oarb_154821_c2_g2	"Lipid transport and metabolism"
Oarb_154826_c1_g2	"Signal transduction mechanisms"
Oarb_154834_c9_g1	"Extracellular structures"
Oarb_154834_c9_g2	"Amino acid transport and metabolism"
Oarb_154836_c7_g1	""
Oarb_154841_c9_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154844_c7_g1	"Amino acid transport and metabolism"
Oarb_154847_c6_g2	""
Oarb_154850_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154864_c4_g1	"Carbohydrate transport and metabolism"
Oarb_154868_c3_g4	"Coenzyme transport and metabolism"
Oarb_154879_c4_g1	""
Oarb_154881_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_154886_c9_g2	""
Oarb_154889_c1_g1	"Signal transduction mechanisms"
Oarb_154889_c3_g1	""
Oarb_154895_c4_g2	"Nucleotide transport and metabolism"
Oarb_154905_c5_g3	"Amino acid transport and metabolism"
Oarb_154909_c9_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_154913_c0_g2	"Chromatin structure and dynamics"
Oarb_154913_c1_g1	"Signal transduction mechanisms"
Oarb_154913_c1_g2	"Signal transduction mechanisms"
Oarb_154918_c6_g2	"Transcription"
Oarb_154920_c6_g1	"Transcription"
Oarb_154925_c3_g1	"Replication, recombination and repair"
Oarb_154928_c2_g1	"Signal transduction mechanisms"
Oarb_154928_c2_g2	"Signal transduction mechanisms"
Oarb_154928_c3_g1	"Signal transduction mechanisms"
Oarb_154933_c14_g1	""
Oarb_154935_c9_g3	"Nucleotide transport and metabolism"
Oarb_154936_c13_g1	"Transcription"
Oarb_154944_c6_g2	"Signal transduction mechanisms"
Oarb_154946_c9_g1	"Cytoskeleton"
Oarb_154949_c4_g2	"Signal transduction mechanisms"
Oarb_154951_c5_g1	"Transcription"
Oarb_154956_c1_g2	""
Oarb_154960_c11_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_154961_c1_g1	"Replication, recombination and repair"
Oarb_154968_c5_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_154974_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_154983_c14_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_154987_c6_g2	"Replication, recombination and repair"
Oarb_154993_c8_g3	"Amino acid transport and metabolism"
Oarb_154994_c6_g2	"Replication, recombination and repair"
Oarb_154994_c6_g6	"Replication, recombination and repair"
Oarb_155005_c4_g2	"Extracellular structures"
Oarb_155009_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_155010_c2_g1	""
Oarb_155011_c2_g1	"Lipid transport and metabolism"
Oarb_155012_c10_g1	"Signal transduction mechanisms"
